0, 182763, 52122, 5007, 10425, 6174, 1873, 1338, 80388, 29
0, 763711, 28797, 3920, 7930, 4765, 4118, 421, 70087, 21
0, 468057, 11846, 1896, 22865, 5458, 2727, 683, 95312, 16
0, 1139762, 58102, 6194, 6800, 2774, 3098, 821, 82440, 16
0, 136575, 18810, 8084, 9655, 3982, 2175, 331, 86524, 26
0, 854221, 169171, 2172, 6997, 3187, 8163, 545, 87276, 16
0, 180869, 20814, 2791, 10763, 1441, 4691, 1847, 101693, 23
0, 611695, 315517, 55854, 95333, 23424, 8846, 2728, 369866, 13
0, 566841, 275103, 49564, 16686, 29021, 8710, 5620, 357961, 3
0, 1108119, 441757, 307780, 75186, 60677, 38969, 12770, 1290675, 3
0, 1304944, 72397, 29578, 26561, 22618, 11211, 1478, 359572, 1
0, 1166895, 197517, 42182, 93699, 16775, 22882, 2867, 426634, 11
0, 18111, 5384, 380, 3750, 896, 870, 283, 21993, 24
0, 102767, 46047, 549, 4751, 4914, 2896, 4014, 106401, 26
0, 1120332, 106099, 30024, 14128, 16030, 12797, 6063, 392542, 26
0, 13104, 20393, 5011, 1267, 5711, 1975, 1087, 85860, 27
0, 355935, 75024, 7109, 27924, 52555, 7508, 4614, 370425, 24
0, 808342, 53354, 4471, 3439, 2170, 13549, 6629, 358484, 41
0, 178415, 27204, 24783, 13857, 15197, 8055, 5264, 368531, 51
0, 23484, 12215, 10011, 13091, 4485, 9369, 3375, 364990, 67
0, 166861, 65376, 13087, 25490, 47510, 4405, 4335, 301586, 48
0, 21127, 22324, 24750, 7540, 9062, 9071, 3461, 328596, 51
0, 38018, 3856, 8752, 2097, 2876, 2191, 910, 93307, 54
0, 10200, 19100, 4388, 7078, 7286, 15849, 3305, 334522, 61
0, 21622, 4082, 11946, 8748, 8984, 4787, 4678, 374990, 80
0, 9814, 8460, 13503, 1584, 15104, 8742, 11893, 276675, 90
0, 71260, 135527, 20381, 18122, 23950, 7342, 7579, 366642, 75
0, 221086, 86562, 38012, 33553, 7766, 7540, 4384, 292823, 48
0, 311297, 22117, 12838, 30908, 30286, 10125, 8784, 367915, 43
0, 54486, 16566, 2191, 3000, 5930, 2552, 1583, 86614, 29
0, 47955, 16276, 14641, 13164, 5468, 6540, 8095, 340645, 43
0, 1151314, 13952, 34978, 13168, 5405, 9069, 5467, 101652, 54
0, 1839051, 151718, 33285, 104329, 17890, 19911, 4377, 288131, 48
0, 120865, 66049, 7940, 13052, 6416, 9246, 2544, 98631, 48
0, 977082, 218292, 108343, 56445, 16626, 22877, 4786, 615338, 38
0, 1262305, 1628352, 82819, 73657, 32953, 98247, 13059, 2161770, 26
0, 1061583, 232940, 54187, 28495, 50990, 20618, 7728, 546671, 26
0, 722650, 83727, 112689, 57145, 25716, 17326, 3864, 506940, 20
0, 240771, 30937, 13680, 2547, 5990, 4951, 849, 133960, 26
0, 943726, 201551, 26145, 43833, 10683, 34549, 3403, 553791, 37
0, 858377, 66218, 100931, 22258, 4825, 29773, 1946, 547521, 53
0, 360940, 57098, 6484, 10243, 4120, 7217, 1698, 123514, 53
0, 129917, 20128, 17561, 6346, 1993, 8547, 485, 139203, 57
0, 339848, 245910, 22967, 22887, 7640, 32828, 4114, 519349, 57
0, 194818, 255807, 24591, 15725, 10811, 24008, 2860, 564487, 50
0, 1347465, 114383, 20828, 7938, 11512, 18698, 3093, 522683, 53
0, 38307, 161957, 156655, 11946, 11363, 20082, 5501, 545965, 38
0, 483559, 367206, 32690, 29611, 20310, 15090, 5699, 501483, 23
0, 2740389, 117310, 95010, 33246, 17709, 13785, 2335, 488911, 20
0, 229260, 52007, 13626, 9975, 5748, 8603, 1069, 121787, 17
0, 979650, 115629, 70378, 33541, 20357, 13601, 2984, 363448, 20
0, 449818, 117914, 29221, 22284, 16851, 8342, 4217, 294802, 24
0, 1822719, 107325, 116666, 96830, 33906, 37097, 18872, 571924, 34
0, 102456, 31463, 17626, 13415, 4886, 6029, 788, 111851, 29
0, 622342, 377884, 90206, 94115, 15835, 48877, 4097, 356612, 34
0, 711149, 28367, 8599, 3062, 21957, 6270, 1657, 69281, 47
0, 724757, 98969, 23170, 18474, 10701, 5583, 971, 88406, 34
0, 1146195, 185982, 116245, 18695, 14807, 11872, 1616, 501862, 23
0, 256377, 43657, 23286, 7192, 2107, 5470, 825, 136739, 21
0, 649741, 106269, 46667, 31900, 51028, 46027, 1367, 496464, 26
0, 2149353, 124555, 9109, 47772, 12164, 10518, 2255, 160992, 29
51, 1174408, 18751, 18930, 26483, 11353, 12934, 1693, 8271, 29
0, 543558, 132203, 11114, 6421, 14077, 50369, 3613, 541026, 54
0, 765624, 64081, 48593, 27402, 9679, 77306, 8536, 710149, 78
0, 1220909, 76124, 10112, 42030, 16532, 56916, 3851, 644282, 84
